City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,talnakh,69.4865,88.3972,-2.16,93,100,1.63,RU,1746853851
83,college,64.8569,-147.8028,14.99,24,75,4.12,US,1746853852
84,mangai,-4.05,19.5333,18.68,95,84,0.87,CD,1746853853
85,qaqortoq,60.7167,-46.0333,-2.96,77,82,2.65,GL,1746853854
86,kirensk,57.7853,108.1119,10.42,60,98,3.19,RU,1746853856
87,kone,-21.0595,164.8658,27.08,69,62,4.39,NC,1746853857
88,alofi,-19.0595,-169.9187,25.94,69,75,7.2,NU,1746853858
89,natal,-5.795,-35.2094,23.36,94,20,1.54,BR,1746853859
90,okanagan,50.3639,-119.35,14.12,51,99,1.63,CA,1746853860
91,nogliki,51.8333,143.1667,4.48,97,100,6.72,RU,1746853861
92,iskateley,67.6803,53.1512,-3.77,88,69,1.83,RU,1746853862
93,bredasdorp,-34.5322,20.0403,15.73,69,35,5.52,ZA,1746853863
94,susuman,62.7833,148.1667,4.42,61,100,2.11,RU,1746853865
95,sirte,31.2089,16.5887,19.95,87,68,5.23,LY,1746853866
96,san rafael del yuma,18.4299,-68.6739,24.19,90,0,2.88,DO,1746853867
97,nova sintra,14.8667,-24.7167,22.3,85,21,8.5,CV,1746853868
98,lata,40.1629,-8.3327,7.49,95,39,1.76,PT,1746853869
99,sitka,57.0531,-135.33,6.94,87,100,2.06,US,1746853870
100,ushuaia,-54.8,-68.3,3.81,81,0,1.54,AR,1746853872
101,griffith,41.5284,-87.4237,4.97,70,0,0.0,US,1746853873
102,saskatoon,52.1168,-106.6345,15.09,34,99,5.81,CA,1746853775
103,vilyuchinsk,52.9306,158.4028,7.15,81,79,2.58,RU,1746853875
104,viqueque,-8.8673,126.3658,29.73,60,81,3.27,TL,1746853876
105,anadyr,64.75,177.4833,-1.72,79,20,6.71,RU,1746853877
106,zhanaozen,43.3,52.8,23.68,32,0,3.92,KZ,1746853878
107,lamu,-2.2717,40.902,25.26,90,100,4.57,KE,1746853879
108,murygino,58.7383,49.4582,11.05,55,100,4.42,RU,1746853881
109,yorkton,51.2167,-102.4677,12.48,42,44,4.88,CA,1746853882
110,kaifeng,34.7911,114.3483,25.32,15,3,3.78,CN,1746853883
111,lebanon,36.2081,-86.2911,13.45,84,100,4.11,US,1746853884
112,kodiak,57.79,-152.4072,6.73,81,100,3.6,US,1746853885
113,las tablas,7.7667,-80.2833,26.16,84,46,2.81,PA,1746853886
114,freetown,8.484,-13.2299,26.33,89,100,2.54,SL,1746853888
115,whitehorse,60.7161,-135.0538,7.23,78,100,2.78,CA,1746853889
